Size	Adjustment	Constraint
ADAMTS10	3312	0.48912118401227	8.9191196212304
ADAMTS17	3288	0.48912125747296	-1.9035844282522
ADAMTSL2	2856	0.48912077163137	2.7716602340846
ADAMTSL4	3225	0.48912192941221	-1.1148018349198
AR	2763	0.4891212862641	3.243333919999
ARX	1689	0.48912107089394	6.8758889452876
ATRX	7479	0.48912113748617	6.1092335582374
BRAF	2421	0.48912118435587	8.1602246028287
BRCA1	5655	0.48912100354453	-2.5776701631958
BRCA2	10257	0.48912123899401	-9.6394700610015
CBL	2721	0.48912092835843	3.5397121749776
CBS	1656	0.48912142304422	2.8235294736487
CBX2	1599	0.48912154147837	-1.8835075214838
COL1A1	4395	0.48912107903056	8.1151207002373
COL1A2	4101	0.48912144762174	2.6618643656298
COL3A1	4401	0.4891211498906	6.4346222173198
COL5A1	5517	0.48912132164653	4.6115384251208
COL5A2	4500	0.48912158016971	2.2604097837515
CYP11A1	1566	0.48912170931806	2.3824024510531
CYP11B1	1512	0.48912094399085	-1.5301627839593
CYP17A1	1527	0.48912070234779	1.5324876744817
CYP19A1	1512	0.48911968694824	-0.66309476164372
CYP21A2	1488	0.48912099750088	7.0128406728504
DHCR7	1428	0.48911958697574	-0.79626364923249
DHH	1191	0.48912126246019	8.0981581048836
DMRT1	1122	0.48912176386634	0.31435292151541
FBN1	8616	0.48912137179215	10.888792460065
FBN2	8739	0.48912152108522	2.5020309678217
HRAS	570	0.48912114597695	5.4943464332383
HSD17B2	1164	0.48912072004665	-6.0444203139754
HSD17B3	933	0.48910287329839	0.031888807899752
HSD3B2	1119	0.48912006695645	1.0654872648097
KRAS	570	0.48912120277336	2.7729375956265
LHCGR	2100	0.48912113119476	-1.4730248902386
MAMLD1	2997	0.4891312707719	0.17276760967461
MAP2K1	1182	0.48912134414677	7.0042554694009
MAP2K2	1203	0.4891207367321	3.0282916264353
MAP3K1	4539	0.48912139418755	3.121318630406
MLH1	2271	0.48912123175768	-2.233364883149
MSH2	2805	0.48912098582323	-8.4783685677287
MYH11	5940	0.48912114970491	6.4340122093816
NF1	8520	0.48912120737931	12.714522170454
NR0B1	1413	0.48912121829759	3.9708534047922
NR5A1	1386	0.4891213479454	5.8762815286584
NRAS	570	0.48912118219223	4.0974466477616
POR	2043	0.48912089103841	-1.0980803094165
PTEN	1212	0.48912130363585	7.5952457514441
PTPN11	1782	0.48912114852808	7.0193435547248
RAD51C	1131	0.48912211737605	0.77267094068678
RAD51D	1047	0.48912080960884	-1.2295861970947
RAF1	1947	0.48912128127437	5.7651474063086
RASA1	3144	0.48912113706078	6.0535431482808
RSPO1	792	0.48912154815343	1.2251255720919
SHOC2	1749	0.48912129771904	5.2499662274802
SLC2A10	1626	0.48912160065302	-2.0741657094952
SMAD3	1278	0.48912113719099	9.0142764692121
SOS1	4002	0.48912130885101	4.4549824439667
SOX9	1530	0.4891211609626	8.3967316291599
SPRED1	1335	0.48912174362303	2.128725988883
SRY	615	0.48912209467886	0.64474803216647
STAR	858	0.48912409277437	0.69558170894996
TGFB2	1329	0.48912112902325	5.3720344943876
TGFBR1	1512	0.48912107365208	5.7517704034341
TGFBR2	1779	0.48912115282391	4.5931330610084
WNT4	1056	0.48912114485766	5.9395078373491
