Nucleotide	UScore
4	2.244
5	1.738
6	0.371
7	0.554
8	0.774
9	0.456
10	1.368
11	1.074
12	0
13	2.898
14	1.859
15	0
16	1.074
17	1.991
18	0
19	9.574
20	11.386
21	0
22	12.494
23	1.639
24	0
25	1.941
26	0.91
27	0.215
28	1.568
29	0.91
30	0.215
31	2.277
32	1.598
33	0
34	0.661
35	1.379
36	0.251
37	0.831
38	2.61
39	1.019
40	3.375
41	1.378
42	0
43	3.184
44	1.743
45	0.364
46	1.507
47	2.61
48	1.019
49	2.898
50	1.859
51	0
52	2.273
53	3.109
54	2.898
55	0.52
56	1.256
57	0.711
58	0.764
59	0.831
60	0.251
61	2.61
62	1.368
63	0.414
64	0.855
65	0.774
66	0.474
67	1.568
68	0.539
69	0.772
70	2.07
71	3.375
72	0.242
73	1.681
74	1.999
75	0
76	3.184
77	1.368
78	0.414
79	2.578
82	0.57
83	2.578
84	0
85	1.868
86	0.539
87	0.772
88	0.562
89	1.066
90	0.799
91	1.738
92	1.368
93	0.633
94	1.293
95	0.566
96	0.838
97	1.868
98	0.91
99	0.336
100	1.367
101	2.007
102	0
103	3.375
104	1.378
105	0
106	1.647
107	1.681
108	0
109	1.872
110	2.22
111	0
112	0.709
113	0.566
114	0.772
115	2.07
116	3.375
117	0.323
118	2.229
119	1.141
120	0.688
121	1.66
122	1.872
123	0.661
124	3.184
125	1.86
126	1.817
127	1.743
128	1.195
129	0.554
130	1.247
131	2.898
132	0.192
133	1.293
136	1.743
137	1.195
138	0.554
139	1.247
140	2.898
141	0.192
142	3.184
143	3.109
144	2.898
145	0.65
146	2.578
147	0
148	0.764
149	0.831
150	0.336
151	1.451
152	1.991
153	0
154	1.074
155	1.647
156	0
157	1.379
158	1.182
159	0.688
160	0.665
161	1.256
162	0.711
163	0.764
164	0.566
165	0.711
166	0.764
167	0.831
168	0.215
169	2.48
170	2.712
171	0
172	1.724
173	2.007
174	0
175	0.768
176	1.063
177	0
178	0.661
179	1.256
180	0.772
181	2.07
182	3.375
183	0.242
184	1.681
185	2.007
186	0
187	0.554
188	0.774
189	0.456
190	3.109
191	3.375
192	0.38
193	1.353
194	0.566
195	0.711
196	0.91
197	2.61
198	1.019
199	2.229
200	1.738
201	0.463
202	2.273
203	1.86
204	1.036
205	1.182
206	1.367
207	0
208	1.293
209	0.831
210	0.251
211	0.444
214	0.539
215	1.376
216	0.713
217	0.577
218	1.563
219	0
220	0.661
221	1.379
222	0.215
223	1.568
224	0.91
225	0.251
226	0.566
227	2.277
228	0.676
229	1.245
230	10.44
231	0
232	0.321
233	1.871
234	0.713
235	1.743
236	1.195
237	0.623
238	1.424
239	2.277
240	0.613
241	1.045
242	1.379
243	0.336
244	1.451
245	1.991
246	0
247	3.375
248	1.639
249	0
250	1.941
251	0.91
252	0.215
253	1.568
254	0.539
255	0.562
256	0.65
257	1.563
258	0
259	0.371
260	1.066
261	0.799
262	0.764
263	0.831
264	0.251
265	2.61
266	1.368
267	0.633
268	3.184
269	1.743
270	0.375
271	1.247
272	3.375
273	0.323
274	2.898
275	1.859
276	0
277	1.195
278	1.195
279	0.181
280	1.045
281	1.256
282	0.562
283	1.859
284	1.991
285	0
286	2.229
287	1.141
288	0.661
289	1.872
290	2.22
291	0
292	2.48
293	3.485
294	0
295	0.554
296	1.066
297	0.789
298	1.868
299	0.539
300	0.772
303	0
304	2.898
305	1.519
306	0
307	0.831
308	1.182
309	0.661
310	1.256
311	1.376
312	0.65
313	1.563
314	2.273
315	0
316	1.507
317	2.61
318	0.371
319	1.195
320	1.195
321	0.507
322	2.898
323	1.519
324	0
325	0.709
326	0.831
327	0.251
328	0.709
329	0.566
330	0.838
331	1.868
332	0.91
333	0.251
334	0.831
335	2.61
336	0.463
337	1.507
338	1.182
339	0.693
340	1.647
341	1.074
342	0
343	1.681
344	2.007
345	0
346	1.941
347	0.91
348	0.336
349	2.22
350	3.184
351	0.575
352	0.57
353	1.563
354	0
355	0.709
356	0.831
357	0.215
358	1.871
359	1.738
360	1.019
361	1.941
362	0.91
363	0.215
364	2.277
365	1.639
366	0
367	0.768
368	1.074
369	0
370	2.273
371	1.368
372	0.633
373	3.184
374	1.368
375	0.426
376	0.665
377	1.379
378	0.251
379	0.566
380	2.277
381	0.676
382	2.273
383	3.109
384	2.437
385	2.712
386	2.649
387	0
388	1.563
389	1.245
390	0
391	0.808
392	1.871
393	0.312
394	0.831
395	1.182
396	0.688
397	9.644
398	12.494
399	0
400	2.898
401	1.724
402	0
403	1.293
404	0.831
405	0.251
406	0.351
407	1.871
408	0.526
409	1.451
410	1.991
411	0
412	0.57
413	1.563
414	0
415	0.661
416	1.256
417	0.711
418	0.539
419	2.277
420	0.693
421	1.941
422	0.91
423	0.336
424	1.367
425	1.999
426	0
427	12.682
428	0.91
429	0.251
430	0.831
431	2.61
432	0.575
433	1.681
434	2.007
435	0
436	0.768
437	1.681
438	0
439	0.855
440	1.066
443	1.256
444	0.838
445	1.868
446	0.91
447	0.251
448	1.182
449	1.367
450	0
451	1.256
452	2.277
453	0.613
454	1.074
455	1.647
456	0
457	1.256
458	2.277
459	0.693
460	3.375
461	1.378
462	0
463	0.665
464	1.379
465	0.336
466	1.451
467	1.647
468	0
469	1.647
470	1.074
471	0
472	1.507
473	1.182
474	0.688
475	2.007
476	1.991
477	0
478	2.071
479	2.244
480	0
481	1.182
482	1.451
483	0
484	3.375
485	2.07
486	0
487	0.321
488	1.871
489	0.312
490	1.182
491	1.451
492	0
493	0.57
494	2.578
495	0
496	0.441
497	2.48
498	0.813
499	1.141
500	2.22
501	0
502	0.709
503	0.566
504	0.562
505	0.52
506	1.256
507	0.562
508	7.34
509	15.063
510	0
511	1.738
512	1.86
513	0.975
514	0.661
515	1.379
516	0.336
517	1.367
518	2.007
519	0
520	1.045
521	1.379
522	0.251
523	0.709
524	0.566
525	0.711
526	1.141
527	10.44
528	0
529	1.378
530	1.074
531	0
532	3.375
533	1.378
534	0
535	1.563
536	1.245
537	0
538	3.184
539	1.743
540	0.326
541	1.941
542	0.91
543	0.328
544	0.371
545	1.066
546	0.789
549	0
550	1.368
551	1.074
552	0
553	2.229
554	1.738
555	0.371
556	0.768
557	1.074
558	0
559	0.768
560	1.074
561	0
562	1.941
563	0.91
564	0.215
565	1.871
566	1.738
567	0.463
568	1.245
569	1.367
570	0
571	12.494
572	1.639
573	0
574	1.507
575	2.61
576	0.463
577	1.353
578	0.566
579	0.838
580	2.649
581	1.519
582	0
583	1.182
584	1.451
585	0
586	1.397
587	2.273
588	0
589	1.247
590	2.898
591	0.192
592	1.256
595	3.375
596	2.07
597	0
598	2.364
599	2.244
600	0
601	1.871
602	1.738
603	0.575
604	1.045
605	1.379
606	0.215
607	1.568
608	0.91
609	0.328
610	0.371
611	1.066
612	1.209
613	0.562
614	0.774
615	0.27
616	0.661
617	1.379
618	0.251
619	2.61
620	1.368
621	0.633
622	1.872
623	1.367
624	0
625	1.999
626	2.007
627	0
628	1.045
629	1.379
630	0.215
631	2.159
632	2.244
633	0
634	1.182
635	1.367
636	0
637	0.84
638	2.48
639	0.907
640	2.244
641	1.738
642	1.019
643	1.941
644	0.91
645	0.251
646	2.61
647	1.368
648	0.633
649	1.256
650	2.277
651	0.562
652	0.554
653	1.066
654	0.789
655	2.244
656	1.738
657	0.371
658	0.768
659	1.074
660	0
661	2.898
662	1.519
663	0
664	0.709
665	0.831
666	0.251
667	0.709
668	0.566
669	0.838
672	0
673	2.898
674	1.859
675	0
676	1.247
677	3.375
678	0.323
679	1.941
680	0.91
681	0.328
682	1.743
683	1.195
684	0.554
685	0.768
686	1.074
687	0
688	1.941
689	0.539
690	0.711
691	1.141
692	10.44
693	0
694	2.244
695	1.738
696	1.019
697	3.375
698	1.598
699	0
700	1.182
701	2.22
702	0
703	0.831
704	2.61
705	0.463
706	1.245
707	1.451
708	0
709	1.941
710	0.91
711	0.336
712	2.22
713	3.184
714	0.575
715	2.108
716	3.184
717	0.575
718	1.045
719	1.379
720	0.336
721	1.367
722	1.999
723	0
724	1.256
725	2.277
726	0.676
727	1.507
728	2.61
729	0.463
730	1.507
731	2.61
732	1.019
733	2.229
734	1.738
735	0.371
736	0.554
737	1.066
738	0.799
739	0.91
740	1.182
741	0.661
742	1.872
743	1.367
744	0
745	1.872
746	1.451
747	0
748	1.941
749	0.539
750	0.711
751	0.764
752	0.566
753	0.562
754	8.353
755	12.494
756	0
757	2.898
758	1.519
759	0
760	1.376
761	1.859
762	0
763	1.941
764	0.539
765	0.711
766	0.441
767	2.48
768	0.988
769	1.519
770	3.184
771	0.575
772	1.681
773	1.66
774	0
775	1.568
776	0.91
777	0.251
778	0.709
779	0.566
780	0.772
781	1.598
782	2.273
783	0
784	1.045
785	1.256
786	0.838
787	2.712
788	3.485
789	0
790	1.424
791	2.277
792	0.562
793	0.768
794	1.074
795	0
796	3.375
797	1.639
798	0
799	0.768
800	1.063
801	0
802	0.831
803	1.182
804	0.693
805	0.855
806	1.066
807	1.286
808	1.519
809	3.184
810	1.019
811	3.375
812	2.07
813	0
814	1.868
815	0.539
816	0.562
817	1.724
818	1.66
819	0
820	3.109
821	3.375
822	0.323
823	2.437
824	2.649
825	0
826	1.872
827	2.22
828	0
829	0.831
830	2.61
831	0.463
832	1.245
833	1.451
834	0
835	2.108
836	3.184
837	1.019
838	2.898
839	1.724
840	0
841	1.256
842	1.376
843	0.65
844	1.647
845	1.063
846	0
847	0.371
848	0.774
849	0.27
850	0.661
851	1.256
852	0.562
853	1.519
854	3.184
855	1.019
856	1.941
857	0.539
858	0.711
859	0.91
860	1.182
861	0.661
862	1.256
863	1.376
864	0.52
865	1.256
866	2.277
867	0.562
868	0.554
869	0.774
870	0.456
871	0.371
872	0.774
873	0.27
874	1.451
875	1.647
876	0
877	1.872
878	1.451
879	0
880	1.353
881	0.831
882	0.215
883	1.871
884	1.141
885	0.661
886	0.808
887	1.871
888	0.312
889	2.61
890	3.109
891	2.229
892	0.91
893	2.61
894	1.019
895	3.375
896	1.598
897	0
898	1.568
899	0.91
900	0.251
901	0.709
902	0.566
903	0.838
904	2.649
905	1.859
906	0
907	1.941
908	0.91
909	0.328
910	1.743
911	0.768
912	0.57
913	2.578
914	3.375
915	0.38
916	1.507
917	2.61
918	0.463
919	1.353
920	0.831
921	0.251
922	0.566
923	1.376
924	0.52
925	1.293
926	0.831
927	0.336
928	0.661
929	1.256
930	0.562
931	1.724
932	2.007
933	0
934	2.437
935	2.649
936	0
937	0.855
938	0.774
939	0.474
940	1.376
941	1.519
942	0
943	0.444
944	2.48
945	0.813
946	0.539
947	1.376
948	0.713
949	0.665
950	1.379
951	0.336
952	2.22
953	3.184
954	0.463
955	1.507
956	1.182
957	0.661
958	0.808
959	1.871
960	0.713
961	3.109
962	0.789
963	0.907
964	2.649
965	1.859
966	0
967	2.071
968	2.244
969	0
970	0.566
971	2.277
972	0.676
973	1.353
974	0.566
975	0.838
976	1.868
977	0.91
978	0.251
979	1.182
980	2.22
981	0
982	3.109
983	3.375
984	0.38
985	1.507
986	2.61
987	1.019
988	2.229
989	1.738
990	0.463
991	1.137
992	2.48
993	0.988
994	7.34
995	15.063
996	0
997	1.141
998	1.451
999	0
1000	1.681
1001	1.999
1002	0
1003	1.256
1004	1.376
1005	0.52
1006	1.872
1007	2.22
1008	0
1009	1.568
1010	0.91
1011	0.251
1012	0.709
1013	0.831
1014	0.251
1015	0.709
1016	0.566
1017	0.838
1018	3.485
1019	1.598
1020	0
1021	1.871
1022	1.738
1023	0.575
1024	0.57
1025	2.578
1026	0
1027	0.91
1028	2.61
1029	1.019
1030	2.898
1031	1.859
1032	0
1033	2.229
1034	1.738
1035	0.575
1036	1.681
1037	1.999
1038	0
1039	0.577
1040	2.578
1041	0
1042	2.07
1043	3.375
1044	0.323
1045	1.941
1046	0.539
1047	0.711
1048	0.321
1049	1.871
1050	0.312
1051	0.709
1052	0.831
1053	0.215
1054	1.568
1055	0.91
1056	0.328
1057	3.109
1058	0.789
1059	0.813
1060	0.91
1061	2.61
1062	0.463
1063	1.353
1064	0.566
1065	0.562
1066	0.52
1067	1.256
1068	0.711
1069	0.764
1070	0.831
1071	0.336
1072	0.693
1073	2.578
1074	0
1075	1.724
1076	1.66
1077	0
1078	3.109
1079	2.898
1080	0.26
1081	1.647
1082	1.063
1083	0
